empresa,data,data_formatada,Open,High,Low,Close,Volume,retorno_diario,retorno_diario_2d,posi,ind_posi,neg,ind_neg,neu,ind_neu,indice
itau,2017-05-04,2017-05-04,26.233334,26.366667,25.313334,25.4,20278350.0,0.03228171814371719,-0.017672415706769154,89.0,0.2348284960422163,55.0,0.1451187335092348,235.0,0.6200527704485488,0.0897097625329815
itau,2021-08-03,2021-08-03,31.4,31.43,30.16,30.77,55037000.0,0.02026770358025718,-0.018549687536594094,139.0,0.3202764976958525,47.0,0.108294930875576,248.0,0.5714285714285714,0.2119815668202765
itau,2014-04-30,2014-04-30,18.287003,18.507387,18.201853,18.417231,20487284.0,-0.007096104850768868,0.017508824442864872,103.0,0.2710526315789474,45.0,0.1184210526315789,232.0,0.6105263157894737,0.1526315789473684
itau,2021-11-04,2021-11-04,24.48,24.73,23.02,23.16,71651200.0,0.05542980493933082,-0.06636713401537313,169.0,0.3414141414141414,58.0,0.1171717171717171,268.0,0.5414141414141415,0.2242424242424242
itau,2011-11-03,2011-11-03,14.935227,14.998975,14.643808,14.798624,19496321.0,0.009188447274243063,0.01513537522128241,121.0,0.2647702407002188,62.0,0.1356673960612691,274.0,0.5995623632385121,0.1291028446389496
itau,2018-05-02,2018-05-02,33.446667,33.533333,32.326668,32.466667,33521550.0,0.029738208106792247,-0.0662520135549466,84.0,0.345679012345679,51.0,0.2098765432098765,108.0,0.4444444444444444,0.1358024691358024
itau,2020-08-04,2020-08-04,26.25,26.690001,25.41,25.690001,79805400.0,0.021564138990189247,-0.06083087474910305,82.0,0.1885057471264367,71.0,0.1632183908045977,282.0,0.6482758620689655,0.025287356321839
itau,2014-11-05,2014-11-05,20.275482,20.644629,20.220385,20.325068,17317278.0,-0.00244262822322816,-0.04805315411224257,112.0,0.2731707317073171,64.0,0.1560975609756097,234.0,0.5707317073170731,0.1170731707317073
itau,2020-02-11,2020-02-11,35.16,35.450001,34.639999,35.07,95513900.0,0.002563008664889327,0.018783994260690565,95.0,0.3368794326241134,37.0,0.1312056737588652,150.0,0.5319148936170213,0.2056737588652482
itau,2019-02-05,2019-02-05,38.560001,38.799999,37.619999,38.0,71190500.0,0.014629335949568792,-0.08653041201196192,57.0,0.3313953488372093,22.0,0.127906976744186,93.0,0.5406976744186046,0.2034883720930232
itau,2014-02-05,2014-02-05,15.677435,15.852742,15.386927,15.627347,32437734.0,0.0032000250148631545,0.015823098543307264,97.0,0.2055084745762712,65.0,0.1377118644067796,310.0,0.6567796610169492,0.0677966101694915
itau,2019-11-05,2019-11-05,37.639999,37.990002,36.799999,37.099998,46982800.0,0.014450372444665027,0.003558153522124584,55.0,0.3125,19.0,0.1079545454545454,102.0,0.5795454545454546,0.2045454545454545
