Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,7.699918,7.721902,7.573509,7.606485,5.611406,9155542
2017-10-10,7.727398,7.831822,7.710910,7.765870,5.728988,17302171
2017-10-11,7.826326,7.848310,7.732894,7.793350,5.749262,20266137
2017-10-12,7.787854,7.804342,7.694422,7.716406,5.692499,12335300
2017-10-13,7.853806,7.859302,7.716406,7.765870,5.728988,21254671
2017-10-16,7.749382,7.765870,7.639461,7.688926,5.672227,11787813
2017-10-17,7.677933,7.683430,7.584501,7.683430,5.668172,12434281
2017-10-18,7.688926,7.716406,7.595493,7.666941,5.656006,11717034
2017-10-19,7.600989,7.617477,7.535037,7.611981,5.615463,7353509
2017-10-20,7.650453,7.666941,7.551525,7.562517,5.578971,8261804
2017-10-23,7.480077,7.557021,7.359165,7.381149,5.445173,9732506
2017-10-24,7.392141,7.425117,7.260236,7.408629,5.465446,19300710
2017-10-25,7.447101,7.513053,7.304204,7.507557,5.538429,17582738
2017-10-26,7.524045,7.535037,7.276724,7.298708,5.384356,11991051
2017-10-27,7.364661,7.441605,7.271228,7.392141,5.453282,17373314
2017-10-30,7.276724,7.337181,7.128332,7.216268,5.323539,29357633
2017-10-31,7.106348,7.111844,6.979940,7.040396,5.193795,24001752
2017-11-01,7.062380,7.133828,6.941467,6.952459,5.130926,19286518
2017-11-02,6.952459,6.996428,6.848035,6.968948,5.143093,17558539
2017-11-03,7.012916,7.012916,6.842539,6.952459,5.130926,30180047
2017-11-06,7.018412,7.106348,6.974444,7.095356,5.236387,17636050
2017-11-07,7.029404,7.034900,6.837043,6.908491,5.098477,22182980
2017-11-08,7.023908,7.199780,6.968948,7.172300,5.293169,22049975
2017-11-09,7.034900,7.122836,6.968948,7.012916,5.175542,22623845
2017-11-10,6.941467,7.001924,6.908491,6.974444,5.147151,25134755
2017-11-13,6.919483,7.018412,6.870019,6.974444,5.147151,13798724
2017-11-14,6.963451,6.979940,6.765595,6.798571,5.017357,16568549
2017-11-15,6.721627,6.897499,6.705139,6.886507,5.082253,13177547
2017-11-16,6.952459,7.062380,6.913987,7.023908,5.183658,13179184
2017-11-17,7.023908,7.188788,7.023908,7.166804,5.289114,14017974
2017-11-20,7.161308,7.260236,7.084364,7.238252,5.341842,11993234
2017-11-21,7.287716,7.414125,7.265732,7.276724,5.370232,16874407
2017-11-22,7.298708,7.320692,7.243748,7.287716,5.378345,12196472
2017-11-24,7.227260,7.271228,7.216268,7.271228,5.366178,6199037
2017-11-27,7.199780,7.265732,7.150316,7.221764,5.329674,10363690
2017-11-28,7.348173,7.414125,7.243748,7.309700,5.394568,13919721
2017-11-29,7.238252,7.243748,7.095356,7.122836,5.256667,15752503
2017-11-30,7.018412,7.056884,6.881011,6.897499,5.090364,27367827
2017-12-01,6.913987,6.979940,6.864523,6.941467,5.124856,10765254
2017-12-04,7.062380,7.183292,7.018412,7.084364,5.230355,9561109
2017-12-05,7.210772,7.221764,7.007420,7.034900,5.193836,9943386
2017-12-06,7.078868,7.155812,6.952459,7.111844,5.250646,12002332
2017-12-07,6.787579,7.067876,6.765595,7.040396,5.197895,20658421
